Project.name,Experiment.name,Experiment.date,Colony.name,Colony.country,Colony.latitude,Colony.longitude,Colony.species,Colony.ed50_value,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_07,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.48,2022-11-24_FJI_Tagaqe_Acrsam_07_37C_420min,2022-11-24,Summer,37,420,0.2,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_07,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.48,2022-11-24_FJI_Tagaqe_Acrsam_07_39C_420min,2022-11-24,Summer,39,420,0.016,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_08,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.61,2022-09-26_FJI_Tagaqe_Acrsam_08_28C_420min,2022-09-26,Winter,28,420,0.625,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_08,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.61,2022-09-26_FJI_Tagaqe_Acrsam_08_34C_420min,2022-09-26,Winter,34,420,0.637,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_08,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.61,2022-09-26_FJI_Tagaqe_Acrsam_08_37C_420min,2022-09-26,Winter,37,420,0.199,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_08,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.61,2022-09-26_FJI_Tagaqe_Acrsam_08_39C_420min,2022-09-26,Winter,39,420,0.012,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_08,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.81,2022-11-24_FJI_Tagaqe_Acrsam_08_28C_420min,2022-11-24,Summer,28,420,0.647,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_08,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.81,2022-11-24_FJI_Tagaqe_Acrsam_08_34C_420min,2022-11-24,Summer,34,420,0.641,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_08,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.81,2022-11-24_FJI_Tagaqe_Acrsam_08_37C_420min,2022-11-24,Summer,37,420,0.258,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_08,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.81,2022-11-24_FJI_Tagaqe_Acrsam_08_39C_420min,2022-11-24,Summer,39,420,0.006,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_09,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.91,2022-09-26_FJI_Tagaqe_Acrsam_09_28C_420min,2022-09-26,Winter,28,420,0.625,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_09,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.91,2022-09-26_FJI_Tagaqe_Acrsam_09_34C_420min,2022-09-26,Winter,34,420,0.632,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_09,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.91,2022-09-26_FJI_Tagaqe_Acrsam_09_37C_420min,2022-09-26,Winter,37,420,0.277,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_09,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.91,2022-09-26_FJI_Tagaqe_Acrsam_09_39C_420min,2022-09-26,Winter,39,420,0.001,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_09,FJI,-18.20167,177.66057,Acropora cf. samoensis,37.01,2022-11-24_FJI_Tagaqe_Acrsam_09_28C_420min,2022-11-24,Summer,28,420,0.635,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_09,FJI,-18.20167,177.66057,Acropora cf. samoensis,37.01,2022-11-24_FJI_Tagaqe_Acrsam_09_34C_420min,2022-11-24,Summer,34,420,0.641,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_09,FJI,-18.20167,177.66057,Acropora cf. samoensis,37.01,2022-11-24_FJI_Tagaqe_Acrsam_09_37C_420min,2022-11-24,Summer,37,420,0.323,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_09,FJI,-18.20167,177.66057,Acropora cf. samoensis,37.01,2022-11-24_FJI_Tagaqe_Acrsam_09_39C_420min,2022-11-24,Summer,39,420,0.025,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_10,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.74,2022-09-26_FJI_Tagaqe_Acrsam_10_28C_420min,2022-09-26,Winter,28,420,0.599,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_10,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.74,2022-09-26_FJI_Tagaqe_Acrsam_10_34C_420min,2022-09-26,Winter,34,420,0.619,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_10,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.74,2022-09-26_FJI_Tagaqe_Acrsam_10_37C_420min,2022-09-26,Winter,37,420,0.2,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-09-26,Tagaqe_Acrsam_10,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.74,2022-09-26_FJI_Tagaqe_Acrsam_10_39C_420min,2022-09-26,Winter,39,420,0,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_10,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.86,2022-11-24_FJI_Tagaqe_Acrsam_10_28C_420min,2022-11-24,Summer,28,420,0.646,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_10,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.86,2022-11-24_FJI_Tagaqe_Acrsam_10_34C_420min,2022-11-24,Summer,34,420,0.625,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_10,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.86,2022-11-24_FJI_Tagaqe_Acrsam_10_37C_420min,2022-11-24,Summer,37,420,0.262,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Tagaqe,2022-11-24,Tagaqe_Acrsam_10,FJI,-18.20167,177.66057,Acropora cf. samoensis,36.86,2022-11-24_FJI_Tagaqe_Acrsam_10_39C_420min,2022-11-24,Summer,39,420,0,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Vatu-o-lalai,2022-09-30,Vatuolalai_Acrsam_01,FJI,-18.20608,177.68898,Acropora cf. samoensis,36.49,2022-09-30_FJI_Vatuolalai_Acrsam_01_28C_420min,2022-09-30,Winter,28,420,0.621,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Vatu-o-lalai,2022-09-30,Vatuolalai_Acrsam_01,FJI,-18.20608,177.68898,Acropora cf. samoensis,36.49,2022-09-30_FJI_Vatuolalai_Acrsam_01_34C_420min,2022-09-30,Winter,34,420,0.627,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Vatu-o-lalai,2022-09-30,Vatuolalai_Acrsam_01,FJI,-18.20608,177.68898,Acropora cf. samoensis,36.49,2022-09-30_FJI_Vatuolalai_Acrsam_01_37C_420min,2022-09-30,Winter,37,420,0.125,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Vatu-o-lalai,2022-09-30,Vatuolalai_Acrsam_01,FJI,-18.20608,177.68898,Acropora cf. samoensis,36.49,2022-09-30_FJI_Vatuolalai_Acrsam_01_39C_420min,2022-09-30,Winter,39,420,0,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Vatu-o-lalai,2022-12-01,Vatuolalai_Acrsam_01,FJI,-18.20608,177.68898,Acropora cf. samoensis,36.43,2022-12-01_FJI_Vatuolalai_Acrsam_01_28C_420min,2022-12-01,Summer,28,420,0.63,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Vatu-o-lalai,2022-12-01,Vatuolalai_Acrsam_01,FJI,-18.20608,177.68898,Acropora cf. samoensis,36.43,2022-12-01_FJI_Vatuolalai_Acrsam_01_34C_420min,2022-12-01,Summer,34,420,0.619,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Vatu-o-lalai,2022-12-01,Vatuolalai_Acrsam_01,FJI,-18.20608,177.68898,Acropora cf. samoensis,36.43,2022-12-01_FJI_Vatuolalai_Acrsam_01_37C_420min,2022-12-01,Summer,37,420,0.16,MSc thesis Elisa Jareis,2024,NA
2022 Fiji Jareis,Vatu-o-lalai,2022-12-01,Vatuolalai_Acrsam_01,FJI,-18.20608,177.68898,Acropora cf. samoensis,36.43,2022-12-01_FJI_Vatuolalai_Acrsam_01_39C_420min,2022-12-01,Summer,39,420,0.003,MSc thesis Elisa Jareis,2024,NA
