Project.name,Experiment.name,Experiment.date,Colony.name,Colony.species,Colony.country,Colony.latitude,Colony.longitude,BioSample.name,BioSample.collection_date,Observation.condition,Observation.temperature,Observation.timepoint,Observation.pam_value,Publication.title,Publication.year,Publication.doi
Voolstra et al. 2021,ExT,2018-08-15,ExT7,Stylophora pistillata,SAU,22.26189,39.04878,ExT7-36,2018-08-15,Wild,36,420,0.354,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT1,Stylophora pistillata,SAU,22.26189,39.04878,ExT1-39,2018-08-15,Wild,39,420,0.036,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT2,Stylophora pistillata,SAU,22.26189,39.04878,ExT2-39,2018-08-15,Wild,39,420,0.067,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT3,Stylophora pistillata,SAU,22.26189,39.04878,ExT3-39,2018-08-15,Wild,39,420,0.195,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT4,Stylophora pistillata,SAU,22.26189,39.04878,ExT4-39,2018-08-15,Wild,39,420,0.011,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT5,Stylophora pistillata,SAU,22.26189,39.04878,ExT5-39,2018-08-15,Wild,39,420,0.042,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT6,Stylophora pistillata,SAU,22.26189,39.04878,ExT6-39,2018-08-15,Wild,39,420,0.102,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,ExT,2018-08-15,ExT7,Stylophora pistillata,SAU,22.26189,39.04878,ExT7-39,2018-08-15,Wild,39,420,0.027,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT1,Stylophora pistillata,SAU,22.26302,39.05165,PrT1-30,2018-08-15,Wild,30,420,0.488,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
Voolstra et al. 2021,PrT,2018-08-15,PrT2,Stylophora pistillata,SAU,22.26302,39.05165,PrT2-30,2018-08-15,Wild,30,420,0.47,Contrasting heat stress response patterns of coral holobionts across the Red Sea suggest distinct mechanisms of thermal tolerance,2021,https://doi.org/10.1111/mec.16064
